S/No,Gloss,Jenjo,Munga Dosso,Tha,Kyãk,Moo,Lelau,Mak,Maghdi,Loo,Burak
1,all,hɛ̃́,k͡pɑ̀m,ɓíθí,dɛ̄,sē,ǹ̩dəì,píp,píp,k͡pə́ŋ,fɛ̄k
2,animal,j̥ə̃́,j̥ə̃̀m,nɨ̀ŋθɑ̀,nɨ̀ŋbjə̀ŋ,nɨ̀ŋbjə̀ŋ,nùŋbjə̀ŋ,nùŋbɑ̂,nūŋbɑ̌,núŋɓə̀l,nūŋdɑ̀gə̄ŋ
3,answer (v),kwə̤̀̀,gwə̀ŋ,gwə̀,gwə̀b,gwə̀b,gwə̀b,gə̀b,gɑ̀b (ɲwā),gə̀b (dɛ̄),gɑ̀b
4,arm,kә́nɑ́,nɑ̀,kə̀nɑ̀,nɑ́,nɑ̌,nɑ́,nɑ̌,nɑ̀,ná̤,nɑ̂
5,arrow,bút͡ʃí,ɓùt͡sə̀,m̩̀̀bṹ,ɓut͡ʃí,ɓút͡ʃí,ɓút͡ʃí,núŋtə̂u,təù,ʔɛ́ɾɓwí,ɑ̂ɾfjɔ́k
6,ashes,fō̤,vəù,cwә́ŋ ɥɑ́,gwī,sɔ́ŋ,sóŋ,twə̌ŋ,d͡ʒwê,gwí,gwī
7,ask,bí,ɓí,bìm,ɓí,ɓíp,ɓìp (bɑ́),ɓíp,ɓíp,bép,ɓíp
8,back,t͡swɑ̀,t͡swɑ̀,jə̀kṹ,mwə̀l,mwə̌l,mwə̀l,mə̌l,ɗɨ́mɑ̀l,mә́l,mə̀l
9,bad,ɑ̀bē,ɥ̥ĩ̂w,ɲә́w,ɑ̀ɓò,ɑ̀ɓɔ̀,mɑ̀wó,mɑ̀ɓó,ɲínɑ̀kō,ɑ̀ɓɔ̀,ɓə̀klɛ́
10,bambara nuts,nɨ́ŋt͡sɛ̄ lwə̀ŋ,nɨ́ŋd͡zɛ̀fĩ̄,núɥépjəù,nɨ́ŋgùjú,nɨ́ŋgwìjú,núŋgwìjú,núŋg͡bɑ̀m,ɓɑ̀lɑ̀,dùɾɔ̀,dùɾò
11,bark,pwə̀,pwə̀,kwə̀ŋkɑ̀,pwə̀m,pɔ̀ŋ,kwɔ̀ŋ (kəp),kwə̀ŋ (kə̀p),kɔ̂ŋ (kə̀p),kɔ̀lɛ̄,kɔ̀klɛ̀
12,basket,lò,kə̀lō,kə̀ləú,kùɗɔ̀k,(kə̀)ɗɔ̀k,ɗòk,ɗɔ̀k,ɗɔ̀k,ɗɔ̀k,ɗɔ́k
13,beer,mí,mìm,mɨì,mín,mín,mín,mín,mín,mín,mìn
14,belly,ɥɑ́,ɥɑ̀,ɥɑ̀,wɑ́,wɑ́,wɑ́,fú,fū,fú,fû
15,beneath,pū,bù,bò,pí,pī,pìswɑ̀,bí,bī,vō,bī
16,big,ɑ̀kã̄,ɑ́ŋgɑ̃̀,nɑ́gò,gɔ̃̌zī,āŋgã̄,ɑ́ŋgã̄,gwə̂ŋ,gɔ̀ŋ,mút,kə́mùɾí
17,bite,t͡swĩ̄,t͡swĩ̂,dũ̀,t͡swɛ̃̄,ɲɛ̄,cwɛ̃̄,ɥí,ɥ́i,pəí,lúm
18,bitter,ɲǐ,nínì,ɲwī,ɲî,ɲì,ɲíθə̀,ɥɑ́ɥɑ̀,ɥɑ̀,ɲɛ̄t,ɥɑ́
19,black,bī,ɓî,nɑ̀ɓì,ɓɨ́lɨ̀m,ɓìl,à ɓìlìm,ɓɨ́lɨ̀m,ɓílīm,ɓíl,ɓílīŋ
20,blood,ɥ̥ǐ̤,ǹ̩ɥ̥ì̤,vì,zwī,zǐ,zĩ̄,ɥē,ɥē̤,dùm,wě
21,bone,kùkú,kùkʊə̀,kùkù,kı̵̄p,kūb,kùkùp,kwə́b,kóp,kúp,kúp
22,bow,kɑ́ntwə̀ŋ,kə̀ntɑ̃̀w,g͡bɑ̃̀təú,kɑ́ntɔ̀,kə̀ntɔ̀,kə̀ntəù,kə̀ntəû,kə̀ptəù,təù,kə̀fjɔ́k
23,break (v),wə́,ʊɑ̀,gwə̀,ɑ́b,ɑ̀b,ɑ̀b,ʔɔ́b,òp,kɑ́,kɑ̌
24,breast,mì,mì,mī,mí,mǐ,mí,mí,mì,mí,mî
25,breathe,hṹ,hṹ,hũ̄,ŋɔ̂,ŋɔ́,ŋwə̀ɲì,ŋə́mɑ́,ùmɑ̀lɛ̀,úmə́,úmé
26,brother/sister,ɥ̥ĩ̌,ɥ̥ĩ̂,ɥə̀,jwə̄ŋ,ɲɔŋɔ̀m,ɥə́ŋə̀m,ɲîn,ɲîn,ɲín,ɲín (mì)
27,burn,t͡swə̃́,t͡swə̂m,cwē,lī,swén(lǐ),lì,swēn,ʃwɛ̀nɛ́,kʊ́ɾɑ́,kɔ́ɾɑ́
28,bury,t͡swì,t͡swî,tù,sú,sú,sú,tǔ,tú,tǔ,tú
29,bush,bɨ̀ŋhù,ɓɨ́ŋvù,tɑ́ŋgù,wɛ̄gūk,wēgūk,dɑ̀ŋgùk,dɑ̀kɑ̀,dɨ́ka᷇,də̀kɑ̀,dɑ̀kɑ̀
30,calabash,d͡ʒì,lì,ləì,ɗɛ̄,ɗē,ɗəì,ɗəī,ɗəí,ɗɛ̄,ɗɛ̄
31,call (v),d͡zúpɨ̀,ɗúpɨ̀,dúbì,lɨ́bē,lɨ̄bē,lùbəí,vɨ́nɨ́,lúvəì,lú,lú
32,carving axe,sɑ́,sɑ̀,ɟé ɑ́ θɑ́nɨ̀ŋ,sã́,sɑ́,θɑ̃́,sɑ̃́,ʃɑ̀,sɑ̀,dùmkɔ́lɔ́
33,cassava,we,wəì,júkə̄,ɾógó,zə̀ŋkwə̀m,ðə̀n,ɥékúmɑ́,bə̃ì,wìkɨ́mə́,wēkúmɑ́
34,child,ìmwə̀,ìmwə̀n,ɥì,wɨ̄ŋðə́ŋ,wī,ɥìmðə̀n,júkúɲə̂ŋ,jú,jū,jū
35,clay,ʍə̀,ɥ̥ə̀,ɟúɟwɑ̀,swɑ́p,swɑ́p,swáp,swə̀b nɨ́ŋmwí,ʃōp,dɔ̀b,dòp
36,clean,kĩ́,ì,kɑ̃̀,ǐŋ,í,ìθə́,ɨ̂n,ɗí (nɨ̀),ɗí,ɗí
37,cloud,t͡ʃì,t͡ʃî,dùlè,tɛ̄,tê,təì,teî,túɾúm,túɾūm,túɾūm
38,cobra,ɲwɛ́,ɲwɑ̀m,ɟəùŋù,bjɔ̀ŋmùŋ,bēkŋwɑ̀m,bjɛ̀kŋwɑ̀m,ŋə́mú,ɑ́mɔ̀k,ŋə̀mɔ́k,ŋə́múk
39,cold,tɑ̃́,tɑ̃̀,tɨ̃́,tém,tém,témθə́,tə́mɑ́,tə́mā,tə̀mə̄,tə́mɑ́
40,come,wú,wə̀,wə̀,wɛ̀,wɑ́,wə̀,jə̀,jí,jɨ́,jí
41,cook,ɥì,ɥì,jəù,jō,jǒ,jò,jəû,jəùwē (nūŋ),jō,jǒ
42,count,sɑ̤̀̀,zɑ̀m,hò,zēn,zēn,(ɑ̀) ðə̂n,də̀bɑ́,dɑ́bā,dɨ̀ɓɑ̀,də̀bɑ̀
43,crab,kə̄ŋ,ǹ̩gɨ̃́jə̀ŋ,ŋ̩̀̀gə̀lə̀ŋ,bûŋ,bûŋ,ǹ̩būŋ,bɨ́ŋ,bə᷇ŋ,bɨ̤̀̀ŋ,d͡ʒɛ̀ŋɛ̀
44,crocodile,ʃɨ́,sɨ̀,sɨ̀,swə́m,sɨ̀p,θìp,s̪ɨ́b,ʃɨ́p,ʃɨ́p,ʃɨ́p
45,cut,kə̀,kwəì,gə̀,kū,kū,ɓɑ̀ɾ,kɨ́p,gə̀b,kə̌p,gə̀b
46,dance,də̀ŋ,də̀ŋ,də̀ŋ,də̂ŋ,də̄ŋ,də̀ŋ,də̀ŋ,də̂ŋ,d͡ʒí (nūŋ),d͡ʒí(nūŋ)
47,day (counting unit),vì,vì,vē,bù,bō,vì,bō,fɑ́lɛ̄,ɓəì,ɓɛ̀
48,day (light),fǐ,ɗwɑ̀fî,ɥɑ̄fē,fū,(wē) fû,(də̀ŋ) fū,fɑ́ɾ,fɑ́lɛ̄,ɓəì,ɓɛ̄
49,demolish,dè,deì,dwé,dɨ̀ɾ,dɨ̂ɾ,dɨ̀ɾ,ɗúɾ,dú (lē),móɾè,mōɾè
50,die,bwí,ɓwîŋ,ɓwí,ɓwì,ɓwì,ɓwì,ɓēɾɑ́,ɓílɑ̀,ɓúɾɛ̄,ɓwɛ́(ɾɛ)
51,dig,hɑ̀,hɑ̀,ðɑ̀,zɑ̀,zɑ̀,ðɑ̀,jɑ́,jɑ̀,jā,jɑ̌
52,dirty,bí,ɓìŋ,ɓì,ɓɨ́l,ɓɨ̀lɨ́ŋ,ɓìlìŋ,ɗɨ́ɾɨ́ŋ,ɓíl,ɓíl,líɾīŋ
53,do,t͡swè,t͡sweì,nə̀̚,tó,t͡ʃó,tó,nɑ́,na᷇,nɛ̄,nɛ̄ː
54,dog,ìd͡zwɑ́,jíɗwɑ̀,ɥìɥɑ̀,d͡zwâ,wìɗwɑ̀,ɗwɑ̀,ɗwɑ́,ɗwɑ̀,ɗwɑ́,ɗwɑ̌
55,dream,mwílɨ́,mwíɾɨ̀,mwìmwì,mwèn,mwèn,mwə̀nì,mwɑ̀,mwɑ̀lɑ̀,múɾɑ̀,mɔ́ɾɑ́
56,drink,ŋwɑ́,ŋwɑ̀,nù̚,ŋwɑ̀,ŋwɑ̀,ŋwɑ̀,núʔú,ɲɔ́,ɲwə́,ɲɔ̌
57,drum,də̀ŋ,də̂ŋ,gə́ŋgə̀ŋ,də̀ŋ,də̂ŋ,də̀ŋ,də̄ŋ,də̄ŋ,də̀ŋ,də̀ŋ
58,dry,t͡ʃī,t͡ʃìŋ,ɥ̥ìjē,kwí,kwí,cwí,kwaí,kwaí (nî),kwəí,kwē(lē)
59,dust,fō̤,vəù,kúʃí,vùk,kúnɗúɾ,kùnɗùɾ,kúnɗúɾ,bə̀p,cûndɨ̀ɾɨ̀,kwìntìɾì
60,ear,t͡ʃwìt͡ʃwí,t͡swìt͡swì,ɓwɑ̀cwì,t͡ʃwī,ɗɔ̀kfī,ɗɔ̀kswî,ɗɔ̀kswē,ʃwê,twí,twe᷇
61,earth,fɑ̀ŋɡwɑ̀,fɑ̀ŋgwɑ̀m,jə̀fɑ́ŋgwé,lùŋgwə̀m,lògwə́m,lóŋgwɑ̀m,lògwɑ́m,lògôm,bílɨ́,bíjélé
62,earthworm,ɥ̥é,ɥ̥ēm,tɑ̀nɑ̀,nù ɑ̀ɓò,nɨ̀ŋ ɑ̀ɓô,ʃɔ̀klɑ̀m,nūŋɓɑ́ɣɑ́,mûnd͡ʒɑ̀k,túlɛ̀lɛ̀,twēlēlēk
63,eat,tə́ŋ,tə̀ŋ,tə́ŋ,tə́ŋ,tə́ŋ,tə̀ŋ,tə́ŋ,tə́ŋ,tə́ŋ,tə́ŋ
64,egg,pɨ̄ŋ,bɨ̀ŋ,bɨ̄ŋ,bùŋ,bùŋ,būŋ,bə́ŋ,bə̀ŋ,bə̄ŋ,bə̄ŋ
65,egret,sɔ̃́sɔ̃̀,t͡ʃìnt͡ʃə̃ù,ɲ̩̀̀ɲɑ́lē,t͡ʃṹt͡ʃɔ̃̀,zɑ̌lōɲə̀k,cīŋcə̃ù,júlúŋbílɑ̀,nūŋlòɲɛ̀k,sèmlóɲɛ̄k,ʃēmlòɲɛ́k
66,eight,ɥĩ̀tə́,kə̀ɲɑ̀kə̀ɲɑ̀,ɟēɗíɗí,gùnɛ̄,gɔ̀gúnɛ̄,ǹ̩gùnəì,gwə̀ŋnā,gɔ́nɔ̀gɔ̀nɔ̀,nə́tə́t,nɑ́tə́t
67,elephant,sō̤,zò,ðəù,zòk,zɔ̀k,zɔ̀k,zʊ́k,d͡ʒɔ̀k,d͡ʒʊ́k̚,d͡ʒʊ́k
68,empty,bɔ̃̀bɔ̃̀,fɑ̀m,nɑ́ncòhã̀nɨŋ,fólô,kwə́ŋnɨ̄ŋ,jə̀ŋù,núŋjēdɨ̀réŋ,ɓéntó,kwə̄ŋ,kɔ̀ŋɲî
69,eye,nɨ́ŋ,nɨ̀ŋ,ɓwɑ́nú,núŋ,nɨ́ŋ,núŋ,núŋ,núŋ,núŋ,nû
70,fall,ō,ò,ʔò,ō,ō,ò,jə́w,jəù,wǒ̤,wō
71,far,t͡swī,t͡ʃwí (hĩ̂w),cwē,t͡ʃû,t͡ʃū,tû (lì),tú,túlɑ̀,túrə̄,g͡bɛ̄nɛ̄
72,fat,ɲwī,nwì (hĩ̂w),ɲwì,ɲwī,ɲwī,nwì,ɲwí,ɲwɛ̂,nwī,nwí
73,father,tɑ̌,dɑ̀,dɑ̀,tō,tâ,dɑ̂,tə́,tɑ́,têt,tɑ̂
74,fear,sɨ́bí,ɓì,núdə́,vɨ́l,vɨ̀ɾí,vɨ̀lì,sùvɨ́lə́,vìlì,vílí,vílí
75,feather,t͡sà̤,d͡zɑ̀m,ɟɛ̃̂,bjə̀ŋ,bjə̄ŋ,bjə̀ŋ,bā,ba᷇,fī,fɪ̂
76,feces,bɨ́ŋ,ɓɨ̀ŋ,wì,búŋ,búŋ,ɓúŋ,ɓoí,ɓoī,ɓwaí,ɓújē
77,fencing mat,kī̤,gì̤,gī̤,gē,kwə̄ŋ (d͡ʒē),gəì,kóɾɨ̀,kólì,kúɾɛ̄,d͡ʒī (kɔ̀ɾɛ̀)
78,fetch,tə̀,tə̀,nə̀,ɓɑ̀,ɓā,ɓɑ̀,ɓɑ́,na̤᷇,nɛ̄,núŋɲí
79,few,t͡swə̀nî,t͡swə̀nî,t͡ʃíɗɑ́ŋ,t͡ʃwə̀b,t͡ʃwə̀b,t͡ʃwɑ̀b,t͡swə̀b,tóp,tɔ̂p,tòp
80,fifteen,lǐ,lî,nə̀θédɑ̀nə́nə́ɲù,swə̀bɗúnùjúŋ,sɔ̀b úɲú,lì,swə̀bìlínúwə́b,ʃópɗínúwɔ̀b,swə̂bɗînɔ̄b,ʃópɗínɔ̂b
81,fight,ʍə̄,vwə̀m,m̩̀̀bē,vɨ̄m,vɨ̀m,vɨ̤̂m,zwə̄,túlɑ̀,t͡ʃə́b,ʃə́p
82,finger,nɨ́ŋɥ̥ə̀nɑ̀,ŋwɑ̀nɨ̀ŋɥ̥ə̀nɑ́,lóveì,wə̀nzīnā,ŋwɑ́zɨ̀nɑ̌,ŋwɑ́nzùnɑ̀,ɥə́ɾnâ,ɑ̀lnā,nɑ́d͡ʒùnā,nɑ́d͡ʒūnɑ̄
83,finish (v),tɨ̀ŋ jə́ŋ,tɨ̂ŋ,cɛ̃̀,ðɨ̀m mə́ŋ,zɨ̀m(ɨ́ŋ),ðə̀mɨ́ŋ,fɑ́ nɨ́,fɑ́ːnɛ̄,fānɛ̄,fɑ́nɔ́
84,fire,d͡zwɑ̀,ɗwɑ̄ː,ɥɑ̀,ɗwɑ̀,ɥɑ̀,lwɑ̀,lwɑ́,lwâ,lwɑ̀,lwɑ̀
85,fish,j̥ɨ̀ŋ,ɥ̥ɨ̀ŋ,θìŋ,θɨ́ŋ,sɨ́ŋ,θɨ́ŋ,seí,ʃəī,t͡ʃē,ʃíjɛ̀
86,five,m̥mɨ̀,nə̀ ɥ̥ĩ̀,nə̀nù,nùɲúŋ,ɲǔ,nû,núwə́b,núwōp,nôb,nɔ̂b
87,float,pɑ́,pə̀m,wíkòmɨ̀ŋ,lòmúŋ,lwēŋlô,lòmûŋ,lómwì,tòl lǒ,lwê,ləúnɑ̀lòmɛ̌
88,flow,sē,zē,ʒì,zɛ̄l,nɑ̀pʰin,cə̀l,cɑ́l,fɑ́nɛ̄,jɑ̀k,ʃí (lí)
89,flower,fɨ́ŋlɨ́,fɨ̀ŋ(ɾɨ̀),fɨ̄,vɨ̀n,vìnú,vɨ̀n,vɨ́nɨ̀ (kə̀p),vìnlɛ̌,bɨ̀lèlé,bìlē
90,fly,jā,jɑ̀,wíjè,wúɾéjɨ́ŋ,wùrínjí,ɨ́ɾɨ̄jí,wùɾɑ̀,wílí,wùɾɨ́,wúrí (nɑ̄)
91,fog,tə̀búd͡ʒɨ̀ŋ,bùt͡sûŋ,dúlé,bɨ̀vɨ́ŋ,zɨ̀nɗɨ̀ɾ,kùɣɑ̀m,kwə̀xə̀m,kɔ́kɔ̀m,kɔ̄m,kɔ̄m
92,food,nɨ̀ŋtə́ŋ,nɨ̀ŋtə̀ŋ,nɨ̀ŋtə̀ŋ,nùŋtə́ŋ,nɨ̀ŋtə́ŋ,nùŋtə́ŋ,núŋtə́ŋ,nūŋtə̀ŋ(ɛ̀),nùŋtə́ŋ(ə́),nūŋtə́ŋ(ɛ̄)
93,foot,pū,bù,bò,ɓúk,bò,bò,bō,vò̤,vō,vō̤
94,four,ɲə̀,nə́ɲə̀,nə̀ɲə̀,nɛ̄,nɛ̂,nəì,nēt,nə̀ɾ,nēːt,nɛ̤̄t
95,front,t͡ʃí,t͡ʃì,cì,sílɛ̄,sí,θɑ̌ʃí,sí,tí,tí,tî
96,fruit,t͡ʃílɨ́,t͡ʃì(ɾɨ̀kə̀),cìkə̀nɨ̀ŋ,sǐw,sí(kə̀p),sì (kə̀p),súɾ (kə̀p),ʃwíɾí,túɾí,túɾí
97,full,jɨ̀lə̂,jɨ̀lə̀,jí,jɨ̀lɨ̀ŋ,jɨ̂ŋ,jìθə̀,jìdə́,jì̤̀nî,jí,ɓɔ́t
98,give,tə̀,də̀,ɗə̀,dɛ̄,dɨ̄,də̀,ə̀,ɛ̄,fɑ́,fɔ́(lɛ́)
99,go,tə́,tə̀,ɗɨ̀,tɛ́,tə́,tə̀,tɑ́,ɗɔ̀,ɗwɑ́t,ɗót
100,good,hĩ̌,ɥ̥ĩ́ɥ̥ĩ̀w,nɑ́lɑ̀ŋ,ɲîn,ɲîn,mɑ̀ɗíŋ,mɑ́ʔín,ɲínɑ̀,ɲínɑ́,ɲí(nɑ́)
